name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Maribyrnong,2015-01-01,26.3,9.7,18,26.3,8.8,17.9,11.8,69.9,0,0,0,,0,0,37.1,27.7,182.2,1013.3,48.3,10,268.9,23.4,7,,2015-01-01T06:01:48,2015-01-01T20:45:25,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-02,38.6,13,26.6,36,13,25.3,9.2,48.6,0,0,0,,0,0,42.5,27.9,357.2,1011.8,22.4,10,357.1,30.7,10,,2015-01-02T06:02:36,2015-01-02T20:45:33,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-03,38.1,24.1,30.9,37.3,24.1,29.9,12.1,34.7,0,0,0,,0,0,72.7,48.2,4,1009.5,34.1,10,346.8,29.9,10,,2015-01-03T06:03:24,2015-01-03T20:45:39,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-04,23.1,15.9,19.5,23.1,15.9,19.5,13.4,69.3,3.529,100,8.33,rain,0,0,44.6,29.5,183.6,1015.7,53.8,9.7,296.3,25.7,10,,2015-01-04T06:04:15,2015-01-04T20:45:43,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-01-05,24.3,12.1,17.8,24.3,12.1,17.8,11.8,68.8,0,0,0,,0,0,45,29.5,185.7,1019.6,52.9,10,387.8,33.3,10,,2015-01-05T06:05:06,2015-01-05T20:45:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-06,29.6,13.8,21.5,29.2,13.8,21.5,14.9,68.3,0,0,0,,0,0,36.7,24.1,216.7,1018.6,46.1,10,358.2,30.9,10,,2015-01-06T06:05:59,2015-01-06T20:45:44,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-07,37.2,16.1,26.7,37.3,16.1,26.7,16.4,61.1,0,0,0,,0,0,43.6,27.7,20.3,1013.1,36.3,9.3,322.1,27.9,10,,2015-01-07T06:06:53,2015-01-07T20:45:42,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-08,29.1,22.1,24.9,30.4,22.1,25.1,18.6,69.3,2.433,100,4.17,rain,0,0,46.8,27.6,264.9,1008.7,79.5,9.8,189.5,16.3,6,,2015-01-08T06:07:48,2015-01-08T20:45:37,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-01-09,21.6,13.1,17.1,21.6,13.1,17.1,15.1,88.2,3.958,100,12.5,rain,0,0,38.5,22.3,173.8,1009.8,100,8.6,81.6,7,3,,2015-01-09T06:08:44,2015-01-09T20:45:31,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-01-10,18.9,13.4,16.1,18.9,13.4,16.1,13.3,84.1,4.066,100,8.33,rain,0,0,36.7,16.6,201.8,1013,99.6,10,176.8,15,6,,2015-01-10T06:09:42,2015-01-10T20:45:22,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95866099999,94864099999"
