datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,month,day_of_week,year,flood_risk
2015-01-01,26.3,9.7,18.0,26.3,8.8,17.9,11.8,69.9,0.0,0,0.0,none,37.1,27.7,182.2,1013.3,48.3,10.0,268.9,23.4,7,0.35,Partially cloudy,1,3,2015,0
2015-01-02,38.6,13.0,26.6,36.0,13.0,25.3,9.2,48.6,0.0,0,0.0,none,42.5,27.9,357.2,1011.8,22.4,10.0,357.1,30.7,10,0.39,Partially cloudy,1,4,2015,0
2015-01-03,38.1,24.1,30.9,37.3,24.1,29.9,12.1,34.7,0.0,0,0.0,none,72.7,48.2,4.0,1009.5,34.1,10.0,346.8,29.9,10,0.42,Partially cloudy,1,5,2015,0
2015-01-04,23.1,15.9,19.5,23.1,15.9,19.5,13.4,69.3,3.529,100,8.33,rain,44.6,29.5,183.6,1015.7,53.8,9.7,296.3,25.7,10,0.46,"Rain, Partially cloudy",1,6,2015,0
2015-01-05,24.3,12.1,17.8,24.3,12.1,17.8,11.8,68.8,0.0,0,0.0,none,45.0,29.5,185.7,1019.6,52.9,10.0,387.8,33.3,10,0.5,Partially cloudy,1,0,2015,0
2015-01-06,29.6,13.8,21.5,29.2,13.8,21.5,14.9,68.3,0.0,0,0.0,none,36.7,24.1,216.7,1018.6,46.1,10.0,358.2,30.9,10,0.53,Partially cloudy,1,1,2015,0
2015-01-07,37.2,16.1,26.7,37.3,16.1,26.7,16.4,61.1,0.0,0,0.0,none,43.6,27.7,20.3,1013.1,36.3,9.3,322.1,27.9,10,0.56,Partially cloudy,1,2,2015,0
2015-01-08,29.1,22.1,24.9,30.4,22.1,25.1,18.6,69.3,2.433,100,4.17,rain,46.8,27.6,264.9,1008.7,79.5,9.8,189.5,16.3,6,0.59,"Rain, Partially cloudy",1,3,2015,0
2015-01-09,21.6,13.1,17.1,21.6,13.1,17.1,15.1,88.2,3.958,100,12.5,rain,38.5,22.3,173.8,1009.8,100.0,8.6,81.6,7.0,3,0.63,"Rain, Overcast",1,4,2015,0
2015-01-10,18.9,13.4,16.1,18.9,13.4,16.1,13.3,84.1,4.066,100,8.33,rain,36.7,16.6,201.8,1013.0,99.6,10.0,176.8,15.0,6,0.66,"Rain, Overcast",1,5,2015,0
